Timestamp,Stroke_End
1680786858.0926654,0
1680786858.2070513,0
1680786858.3213382,0
1680786858.431659,0
1680786858.6572213,0
1680786863.1515574,0
1680786863.2627993,0
1680786863.374079,0
1680786863.593679,0
1680786863.8192956,1
1680786863.9344456,0
1680786864.0498123,0
1680786864.2754445,0
1680786864.3887815,0
1680786864.4992065,0
1680786864.613439,1
1680786864.7305858,0
1680786864.8488402,0
1680786865.0965548,0
1680786865.20782,0
1680786865.3192074,1
1680786865.432397,0
1680786865.653022,0
1680786865.8976712,0
1680786866.2505417,0
1680786866.3707936,1
1680786866.493153,0
1680786866.9813712,0
1680786867.2292092,0
1680786867.352315,0
1680786867.4775143,0
1680786867.7273512,0
1680786867.8496323,0
1680786867.9718745,0
1680786868.0933485,0
1680786868.2155836,0
1680786868.337867,0
1680786868.4611988,0
1680786868.71388,0
1680786869.4427106,0
1680786869.9289234,1
1680786870.0512211,0
1680786870.1706674,0
1680786870.294989,0
1680786870.4202385,1
1680786870.5515535,0
1680786870.6919003,0
1680786870.8291805,0
1680786870.9515402,1
1680786871.0738056,0
1680786871.1981704,0
1680786871.3174298,0
1680786871.437765,0
1680786871.555046,0
1680786871.6773996,0
1680786871.7906368,0
1680786872.0182648,1
1680786872.257774,0
1680786872.3811388,0
1680786872.6127734,1
1680786872.8363903,0
1680786872.9475257,0
1680786873.0589008,0
1680786873.1702352,0
1680786873.3948853,0
1680786873.6162708,1
1680786873.7285068,0
1680786873.83986,0
1680786873.9502459,0
1680786874.174744,0
1680786874.3942175,0
1680786874.618068,0
1680786874.7314043,0
1680786874.95481,0
1680786875.0689542,0
1680786875.1934686,0
1680786875.316608,0
1680786875.436112,0
1680786875.5564816,0
1680786875.677584,0
1680786875.7989771,1
1680786875.9192262,0
1680786876.4095843,0
1680786876.5308213,1
1680786876.6532135,0
1680786876.7754529,0
1680786876.893818,0
1680786877.0150733,0
1680786877.1333103,1
1680786877.2536647,0
1680786877.3749003,1
1680786877.4912853,0
1680786877.6095173,0
1680786877.729008,0
1680786877.8512897,0
1680786877.9706347,0
1680786878.087766,0
1680786878.5610409,0
1680786878.6792622,1
1680786878.7996476,0
1680786878.9198837,0
1680786879.0391152,0
1680786879.1594734,1
1680786879.2789223,0
1680786879.3991146,0
1680786879.5183709,1
1680786879.6387122,0
1680786879.760971,0
1680786880.0016239,0
1680786880.3614888,0
1680786880.4818547,0
1680786880.721333,1
1680786880.840845,0
1680786881.2017176,0
1680786881.3209767,1
1680786881.4423344,0
1680786881.9275799,0
1680786882.0539548,0
1680786882.1732128,0
1680786882.2946715,0
1680786882.4149556,0
1680786882.532142,0
1680786882.6515417,0
1680786882.7697067,0
1680786883.1167119,0
1680786883.2398996,0
1680786883.3591886,0
1680786883.4785144,0
1680786883.5957916,0
1680786883.7143595,0
1680786883.8325768,0
1680786883.9497929,0
1680786884.0702493,0
1680786884.5512762,1
1680786884.6775131,0
1680786884.7988753,0
1680786884.9192467,0
1680786885.0415099,1
1680786885.1609101,0
1680786885.2822082,0
1680786885.5227425,0
1680786886.2486,0
1680786886.3728564,0
1680786886.496547,1
1680786886.6214664,0
1680786886.861201,1
1680786886.9803379,0
1680786887.3513432,0
1680786887.4757001,0
1680786887.8487065,0
1680786887.9719718,0
1680786888.094321,0
1680786888.2158217,0
1680786888.3409123,0
1680786888.5868075,0
1680786888.7099166,0
1680786888.8302035,0
1680786888.9505415,0
1680786889.0727866,0
1680786889.1970954,0
1680786889.3204262,0
1680786889.5680528,0
1680786889.6914308,0
1680786889.8137128,0
1680786889.9380496,1
1680786890.0614307,0
1680786890.3111582,1
1680786890.4352925,0
1680786890.5596316,0
1680786890.807291,1
1680786890.913525,0
1680786891.0198662,0
1680786891.2323873,0
1680786891.3386633,0
1680786891.551271,0
1680786891.6563795,0
1680786891.8740084,1
1680786892.09863,0
1680786892.2100327,0
1680786892.4364974,0
1680786892.552737,1
1680786892.7734845,0
1680786892.9931166,0
1680786893.2143323,0
1680786893.3307378,0
1680786893.5572336,0
1680786893.668587,0
1680786893.7768435,0
1680786893.9944606,0
1680786894.1076922,0
1680786894.2181253,0
1680786894.3283105,0
1680786894.4386702,0
1680786894.5499551,0
1680786894.661351,0
1680786894.7724447,0
1680786894.9940753,0
1680786895.1093621,0
1680786895.3399327,0
1680786895.457207,0
1680786895.5715928,0
1680786895.7951682,0
1680786896.0176756,1
1680786896.1318772,0
1680786896.4757466,0
1680786896.5910394,1
1680786896.8165615,0
1680786896.9331388,1
1680786897.052304,0
1680786897.1615796,0
1680786897.2677784,0
1680786897.5964916,0
1680786897.7098866,0
1680786897.8191345,0
1680786899.0533686,0
1680786899.1675837,0
1680786899.3932285,0
1680786899.6178052,0
