Time_Seconds,Length,Velocity,Acceleration,Jerk,Curvature,Voxels Removed,Angle with Respect to Camera,Source,Time_Quartile,Stroke_Duration,Cluster
1.581817865371704,0.0087645512652652,0.005772575855031,0.0220826536810487,0.1054549327562233,730.3728362223954,1350.0,68.58494829823609,axkfbi_P0_L1_color,Q1,1.581817865371704,2
6.601589679718018,0.0072936305171638,0.001380794729625,0.0062636521071091,0.0105937564219226,-2543.2604754388776,668.0,66.14219834294423,axkfbi_P0_L1_color,Q1,5.0197718143463135,2
6.913643598556519,0.0006585133198679,0.0080525853259382,0.0,0.0,0.0,161.0,68.35732268735671,axkfbi_P0_L1_color,Q1,0.31205391883850186,0
7.335505485534668,0.0028434456657674,0.0071330556203406,0.0215202902795423,5.739400666376712e-15,289.9770989312528,76.0,67.45615239764349,axkfbi_P0_L1_color,Q1,0.4218618869781485,0
7.548114061355591,0.0006397238623982,0.0119314603059656,0.0,0.0,0.0,1.0,68.04238373366276,axkfbi_P0_L1_color,Q1,0.21260857582092285,0
8.331183910369873,0.0035439249164917,0.007069880568959,0.0497664767897804,0.2910679757940614,1825.558243568541,542.0,67.57655407076348,axkfbi_P0_L1_color,Q1,0.7830698490142822,2
8.658980369567871,0.0003603013368809,0.0167074808604756,0.0,0.0,0.0,129.0,67.72037548924733,axkfbi_P0_L1_color,Q1,0.32779645919799805,0
9.57248044013977,0.00841770333401,0.0104119587547226,0.0641121518624285,0.54778957543964,5925.610158749079,529.0,66.68043339034469,axkfbi_P0_L1_color,Q1,0.9135000705718994,2
11.193517684936523,0.0129868541812553,0.0077452164370159,0.0680313333816498,0.5732416685821002,3777.3700665374695,1229.0,67.13718385993575,axkfbi_P0_L1_color,Q1,1.621037244796753,2
12.748492002487184,0.0049535354798502,0.0041635175952166,0.0112988789510156,0.0456214403178658,698.2990947578081,642.0,65.63245678780052,axkfbi_P0_L1_color,Q1,1.554974317550661,2
13.167617797851562,0.0010282473970673,0.0064435228321918,0.0068140332420964,1.0596271023017428e-15,116.47879967997837,239.0,66.37340227903177,axkfbi_P0_L1_color,Q1,0.4191257953643781,0
13.790945768356323,0.0029335828749001,0.0112982628216079,0.0595691961712492,0.1610894231846459,18456.50784060148,461.0,66.28303266986413,axkfbi_P0_L1_color,Q1,0.6233279705047607,2
14.859720706939695,0.006353915622721,0.0066826547467588,0.0595992008343964,0.3164145944393656,398.8569332564664,743.0,65.79826816452008,axkfbi_P0_L1_color,Q1,1.0687749385833722,2
15.390039682388306,0.0039664046019601,0.005455262933007,0.0398948334854813,3.8331514447431225e-15,735.735142701265,420.0,66.0009194061118,axkfbi_P0_L1_color,Q1,0.5303189754486102,0
15.712045669555664,0.0026399427651379,0.0149642168072176,0.1380478122348871,2.8078142243296988e-15,1120.4073930615325,186.0,66.38207181033556,axkfbi_P0_L1_color,Q1,0.3220059871673584,0
16.15401291847229,0.0029595192012929,0.0075951342002618,0.0503538215976024,6.465574530689284e-15,182.89186447476945,352.0,66.6019650032622,axkfbi_P0_L1_color,Q1,0.441967248916626,0
17.0283842086792,0.0096910760265424,0.0127721349070702,0.1123980929440719,0.7570876413516376,1447.3824153318265,475.0,66.49955696287857,axkfbi_P0_L1_color,Q1,0.8743712902069092,2
17.66990065574646,0.0030986358218913,0.0059498720202242,0.0287065397993682,0.1037952153987295,737.682700107801,253.0,66.14427016620813,axkfbi_P0_L1_color,Q1,0.6415164470672607,2
19.169759511947632,0.0099530563530741,0.0067824547724445,0.0448611768416974,0.3293543738773571,1683.039938317026,1263.0,67.02079966513658,axkfbi_P0_L1_color,Q1,1.4998588562011719,2
19.89058256149292,0.0009990301011864,0.0041665758915071,0.0179451395329105,1.671428883486779e-14,487.2415593229291,305.0,67.66911661162708,axkfbi_P0_L1_color,Q1,0.7208230495452881,0
20.094348669052124,0.0004146374760183,0.000922374702441,0.0,0.0,0.0,195.0,69.12481528795135,axkfbi_P0_L1_color,Q1,0.2037661075592041,0
21.450538396835327,0.0058138421324199,0.0063070261044344,0.0134143834955013,0.0245280524092427,402.3674039914748,491.0,67.76945042711748,axkfbi_P0_L1_color,Q1,1.3561897277832031,2
24.01440715789795,0.0073582579398022,0.003847750048372,0.0206238697717191,0.0745356521869002,3156.8629495309856,852.0,63.60808360977201,axkfbi_P0_L1_color,Q1,2.563868761062622,2
24.45551347732544,0.0065066749022764,0.0147214231557723,0.1049349057721227,0.6242272975207216,2820.7719060676227,160.0,61.996077039041566,axkfbi_P0_L1_color,Q1,0.44110631942749023,2
25.75585341453552,0.0096148354822887,0.0073854649362734,0.0640031904688202,0.3338765832295985,1625.6151666809385,572.0,61.78470918546323,axkfbi_P0_L1_color,Q1,1.3003399372100795,2
26.615933895111084,0.0079209897663184,0.0093558857094106,0.0593909887589586,0.427799916116056,1538.5100029512218,464.0,61.83135545033107,axkfbi_P0_L1_color,Q1,0.8600804805755651,2
27.989449739456177,0.0029762305558042,0.0011314464622734,0.0027613011019073,4.038485387059714e-16,819.4870444250304,225.0,61.35253398153984,axkfbi_P0_L1_color,Q1,1.3735158443450928,0
28.2008798122406,0.0002163619213541,0.0053854171863547,0.0,0.0,0.0,200.0,62.63554099736423,axkfbi_P0_L1_color,Q1,0.21143007278442383,0
29.24952006340027,0.0059784438487035,0.0079860159438326,0.0440107889028475,0.3122887727943853,3145.4409347468827,789.0,63.44115523066328,axkfbi_P0_L1_color,Q1,1.048640251159668,2
