Stroke End Time,Length,Velocity,Acceleration,Jerk,Curvature,Voxels Removed,Angle with Respect to Camera,Voxel % Green,Voxel % Yellow,Voxel % Red,Voxel % Other,Source
4.757171392440796,0.0088705676160544,0.0019259124344516,0.0085342603126768,0.0438444668780768,1740.6615184989828,2353.0,61.20902362737477,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
5.172296762466431,0.0012056497781806,0.0039113067403047,0.0205619364897089,0.1584027704619258,2320.9485964928367,250.0,55.29550856549382,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
5.487043619155884,0.0010832629322903,0.0053663728929261,0.0509114930975087,8.401510153001603e-16,690.459770378494,133.0,54.60181316136292,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
6.677092790603638,0.0047696720184445,0.0035191806196861,0.022790238544333,0.178354675778548,1523.92402633116,980.0,53.85849439989487,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
7.143235445022583,0.0024327320571675,0.0061802156413744,0.0410209248429564,0.2915763790582755,10084.95492041267,135.0,51.43752884083841,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
10.455911874771118,0.0243093892643165,0.0077125947079895,0.0638322535668982,0.4653574946561286,10299.654402242337,1264.0,50.58613149623008,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
12.893986701965332,0.0106089188116531,0.0040727127518827,0.0392320005626905,0.2401365379679911,1090.9036186739436,1110.0,50.55961875969789,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
13.911596536636353,0.003622366303148,0.0039621543518691,0.0337328731597223,0.2131516239074247,3569.6355377841387,493.0,51.93091759564696,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
17.251248598098755,0.0105329802781198,0.0027683646970166,0.0197875111412145,0.1194436247939333,6251.999783097223,587.0,51.80966647668657,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
17.932738065719604,0.0028370830427742,0.0048055820580123,0.040648399077575,0.3284690848315929,10627.220188296264,156.0,51.366316231905664,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
21.563146591186523,0.009415543634702,0.0031600711719452,0.0175274603981224,0.1128260961592199,1744.9234148345938,984.0,51.92253062474155,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
21.861904859542847,0.0014251502854615,0.0102758130026981,0.0503596448167129,3.652900017593151e-15,201.9044432918703,37.0,52.24507120399227,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
22.262908697128296,0.0033402697679015,0.0136795376536333,0.1044280902637166,0.4633298639264144,899.0924430241637,105.0,52.66891661553063,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
22.462393522262573,0.0019961941358926,0.0008984416946631,0.0,0.0,0.0,45.0,52.87783644458818,0.0,0.0,0.0,100.0,exoofp_P0_L3_color
