Timestamp,Stroke_End
1680786527.0146375,0
1680786527.1261091,0
1680786529.5441632,0
1680786529.647435,0
1680786529.748863,1
1680786529.8519661,0
1680786530.0545526,1
1680786530.1526854,0
1680786530.2500541,0
1680786530.770278,1
1680786530.9797962,0
1680786531.084019,1
1680786531.1893785,0
1680786531.4080942,0
1680786531.5203547,1
1680786531.9222393,0
1680786532.018524,0
1680786532.1146667,0
1680786532.209021,1
1680786532.3083968,0
1680786532.4146395,0
1680786532.6221528,0
1680786532.7292695,0
1680786532.8325927,0
1680786532.934889,0
1680786533.1404738,1
1680786533.2437787,0
1680786533.348979,0
1680786534.0758688,1
1680786534.1789932,0
1680786534.281365,0
1680786534.3846886,0
1680786534.491963,1
1680786534.6002276,0
1680786534.708327,0
1680786534.8116016,0
1680786535.0111814,0
1680786535.110349,1
1680786535.206594,0
1680786535.303836,0
1680786535.4011645,0
1680786535.5915883,0
1680786535.6888292,0
1680786535.786074,0
1680786535.886321,0
1680786535.9816458,0
1680786536.0807998,0
1680786536.186059,0
1680786536.2825067,0
1680786536.379655,0
1680786536.4789183,0
1680786536.5862055,0
1680786536.803694,0
1680786536.910057,1
1680786537.1245584,0
1680786537.2329574,0
1680786537.339175,0
1680786537.446629,0
1680786537.5536208,0
1680786537.6609926,0
1680786537.7691643,0
1680786537.984781,0
1680786538.0949984,0
1680786538.2022905,0
1680786538.3105166,0
1680786538.5240965,0
1680786538.6336558,0
1680786538.7449553,0
1680786538.853127,0
1680786538.9634616,0
1680786539.0736492,0
1680786539.1858957,0
1680786539.3001447,0
1680786539.4093907,0
1680786539.5188813,0
1680786539.6288676,0
1680786539.7382712,0
1680786539.851629,0
1680786539.959753,0
1680786540.0713844,0
1680786540.1815767,0
1680786540.2907894,0
1680786540.4060414,0
1680786540.6266122,0
1680786540.735817,0
1680786540.8471081,0
1680786540.9583037,0
1680786541.070721,0
1680786541.181077,0
1680786541.2912061,0
1680786541.5067136,0
1680786541.6069527,0
1680786541.7133064,0
1680786541.918786,0
1680786542.020076,0
1680786542.1193047,0
1680786542.2225792,0
1680786542.333793,1
1680786542.5394557,0
1680786542.640683,0
1680786542.7419288,0
1680786542.843259,0
1680786542.9494247,0
1680786543.0537014,0
1680786543.1539526,0
1680786543.2502973,0
1680786543.3474066,0
1680786543.4497461,0
1680786543.5479124,0
1680786543.6443093,0
1680786543.7415476,0
1680786543.8387396,0
1680786543.9388797,0
1680786544.033144,0
1680786544.1263826,0
1680786544.2236464,0
1680786544.4101334,0
1680786544.511506,0
1680786544.6096396,0
1680786544.7069635,0
1680786544.8023992,0
1680786544.8995843,0
1680786545.0919979,0
1680786545.187135,1
1680786545.2884722,0
1680786545.3846586,0
1680786545.4809573,0
1680786545.5792582,0
1680786545.7706392,0
1680786545.866835,0
1680786545.964095,0
1680786546.068353,0
1680786546.1737247,0
1680786546.3743284,0
1680786546.4734318,0
1680786547.1752357,0
1680786547.3798356,0
1680786547.4812095,0
1680786547.5825396,0
1680786547.6865628,0
1680786547.7877848,0
1680786547.8880305,0
1680786547.9873612,0
1680786548.0855405,0
1680786548.1898139,0
1680786548.2890954,0
1680786548.3863187,0
1680786548.4895296,1
1680786548.5938096,0
1680786548.7051628,0
1680786548.8074346,0
1680786548.9097862,0
1680786549.0080056,0
1680786549.107484,0
1680786549.2075257,1
1680786549.306805,0
1680786549.4030135,0
1680786549.5031538,1
1680786549.6015062,0
1680786549.7037575,0
1680786549.8041346,0
1680786549.9041579,0
1680786550.0074978,0
1680786550.113765,0
1680786550.2221527,0
1680786550.3234138,0
1680786550.4245462,1
1680786550.5288785,0
1680786550.7445257,0
1680786550.8487651,0
1680786551.2426143,1
1680786551.3408556,0
1680786551.5263731,0
1680786551.6206048,0
1680786551.7148604,0
1680786551.8079536,1
1680786551.9052622,0
1680786551.9995725,0
1680786552.0928438,0
1680786552.2944622,1
1680786552.392576,0
1680786552.5920725,0
1680786552.692314,0
1680786552.793571,1
1680786552.9951768,0
1680786553.400293,1
1680786553.5074246,0
1680786553.6097023,0
1680786553.7100432,0
1680786553.9154315,0
1680786554.2223117,0
1680786554.331532,0
1680786554.433787,0
1680786554.7406733,0
1680786554.8437955,1
1680786554.949041,0
1680786555.0543997,1
1680786555.2590148,0
1680786555.5607345,0
1680786555.6649182,0
1680786555.7671714,0
1680786555.8684297,0
1680786556.2735362,0
1680786556.6716127,0
1680786556.7699437,0
1680786556.872023,0
1680786557.468461,0
1680786557.5657516,0
1680786558.1612465,0
1680786558.262735,0
1680786558.3698738,0
1680786559.4717066,0
1680786559.569952,0
1680786559.667367,1
1680786560.4483063,0
1680786560.5544093,0
1680786566.5336604,0
1680786566.750284,1
1680786566.8605347,0
1680786567.1863704,0
1680786567.5182471,0
1680786580.1204824,1
1680786588.2193673,0
1680786588.3305085,0
1680786588.5430818,0
1680786588.6483657,0
1680786588.7536032,0
1680786588.8608074,0
1680786588.971091,0
1680786589.0845475,0
1680786589.1997006,0
1680786589.7492208,0
1680786589.8635874,0
1680786589.9717855,0
1680786591.4044027,1
1680786591.5156667,0
1680786591.9647818,0
1680786592.18528,0
1680786592.2945976,0
1680786592.4049885,0
1680786592.6245944,0
1680786592.740833,0
1680786592.8501363,0
1680786593.0615156,0
1680786593.1658666,0
1680786593.2691236,0
1680786593.4826312,0
1680786593.5878494,0
1680786593.6922145,0
1680786593.7985911,0
1680786593.903761,0
1680786594.0131052,0
1680786594.118465,0
1680786594.5533214,0
1680786595.8657045,0
1680786597.1852787,0
1680786600.2538698,0
1680786600.3472123,0
1680786600.441334,0
1680786600.5397012,0
1680786600.6329648,0
1680786600.7282226,0
1680786600.8243449,0
1680786600.9206157,1
1680786601.428098,0
1680786605.554505,0
1680786608.3776875,0
1680786608.479935,0
1680786608.582291,0
1680786608.6814187,0
1680786608.782667,0
1680786608.8818805,0
1680786609.0735185,0
1680786609.1726718,0
1680786609.7744,1
1680786609.9747784,0
1680786610.0791063,0
1680786610.1792626,0
1680786610.3729208,0
1680786610.7628758,0
1680786610.8620076,0
1680786610.9652324,0
1680786611.0685894,0
1680786611.1698668,0
1680786611.2701094,0
1680786611.368447,0
1680786611.4666958,0
1680786611.5618486,0
1680786611.753327,0
1680786611.851618,0
1680786616.447347,1
1680786616.5465946,0
1680786616.6468246,0
1680786616.746081,0
1680786626.6283157,0
1680786626.7267315,0
1680786626.8259294,0
1680786626.9251585,0
1680786627.0204034,0
1680786627.1216755,0
1680786627.2208734,1
1680786627.4114046,0
1680786627.5076313,1
1680786627.6048665,0
1680786627.7041624,0
1680786627.8023615,0
1680786627.8996737,0
1680786628.0931535,0
1680786628.192579,0
1680786628.2947967,0
1680786628.5944679,0
1680786628.695636,0
1680786629.2000196,0
1680786629.8978238,1
1680786629.9990935,0
1680786630.1003466,0
1680786630.2054904,0
1680786630.3067315,0
1680786630.4080496,0
1680786630.509328,0
1680786630.6146657,0
1680786630.7229478,0
1680786630.8251624,0
1680786630.9213345,0
1680786631.1109593,0
1680786631.2081726,0
1680786631.3094223,0
1680786631.4105933,0
1680786631.5078092,0
1680786631.6030862,0
1680786631.7014554,0
1680786631.7995813,0
1680786631.9942093,0
1680786632.0924063,0
