Timestamp,Stroke_End
1680790919.878305,0
1680790920.00147,0
1680790920.1238163,0
1680790921.9815452,0
1680790922.094823,0
1680790924.69645,0
1680790924.918229,0
1680790925.034489,0
1680790926.1151774,1
1680790926.233448,0
1680790926.821056,1
1680790927.1548028,0
1680790927.380402,0
1680790927.6019506,0
1680790927.938892,0
1680790928.0620582,1
1680790928.660841,0
1680790928.9985344,0
1680790929.3413908,1
1680790929.4576824,0
1680790929.574877,0
1680790929.805623,0
1680790929.9199014,0
1680790930.2638838,0
1680790930.3782625,0
1680790930.4953957,0
1680790930.7230067,0
1680790930.838353,1
1680790931.6383147,0
1680790932.0744464,0
1680790933.0619445,0
1680790933.279566,0
1680790937.5804188,1
1680790937.822187,0
1680790940.7796443,0
1680790940.9952784,0
1680790941.1025498,0
1680790941.3198717,0
1680790941.5355084,0
1680790941.6458411,0
1680790941.861384,0
1680790942.0818226,0
1680790942.195393,0
1680790942.5382671,0
1680790942.7617419,0
1680790942.9814663,0
1680790943.09657,0
1680790943.321078,1
1680790943.5446944,0
1680790943.661153,0
1680790943.8826065,1
1680790943.9938242,0
1680790944.3386717,0
1680790944.4550357,0
1680790944.6826997,0
1680790944.7958972,0
1680790944.9091907,0
1680790945.0226543,0
1680790945.1387587,0
1680790945.3624156,0
1680790945.4766715,0
1680790945.7011876,1
1680790946.0411985,0
1680790946.1573973,0
1680790946.3811567,0
1680790946.4963486,0
1680790946.7218635,0
1680790946.8361058,0
1680790947.0637243,0
1680790947.1770215,0
1680790949.0217304,0
1680790949.2383559,0
1680790949.455852,1
1680790950.1245544,0
1680790950.2368171,0
1680790950.465324,0
1680790950.5816917,0
1680790950.9184446,0
1680790951.1432843,0
1680790951.2544878,0
1680790951.4769397,0
1680790951.6995566,0
1680790951.9211788,1
1680790952.2570417,0
1680790952.4805105,0
1680790952.596844,1
1680790952.8243732,0
1680790952.9407425,0
1680790953.2765427,0
1680790953.4992616,0
1680790953.7217355,0
1680790953.9442456,0
1680790954.05559,0
1680790954.280232,0
1680790955.60272,0
1680790955.8161664,0
1680790955.922303,0
1680790956.1369305,1
1680790956.242155,0
1680790956.4576986,1
1680790956.5649378,0
1680790956.7815487,0
1680790957.0001972,0
1680790957.215756,1
1680790957.5415142,0
1680790957.6546779,1
1680790957.880517,0
1680790957.9986908,0
1680790958.220269,0
1680790958.6623912,0
1680790958.8849263,0
1680790958.9982617,0
1680790959.220762,0
1680790959.442395,0
1680790959.5556383,0
1680790959.7823505,0
1680790959.9006007,1
1680790960.016007,0
1680790960.3607416,0
1680790960.4759629,0
1680790960.704589,1
1680790960.8248253,0
1680790960.9411054,0
1680790961.0574749,0
1680790961.1758432,0
1680790961.400365,1
1680790961.5167103,0
1680790961.7382317,0
1680790961.9628096,0
1680790962.074086,0
1680790962.3006568,0
1680790962.955489,1
1680790963.0636404,0
1680790963.1797829,0
1680790963.4035802,0
1680790963.5167673,0
1680790963.95889,0
1680790964.5155175,0
1680790964.736865,0
1680790964.9585214,0
1680790965.1830366,0
1680790965.2953851,0
1680790965.5190067,0
1680790966.0793414,0
1680790966.1946256,0
1680790966.418229,0
1680790966.6408625,0
1680790967.3195698,0
1680790967.8809676,0
1680790968.1045952,0
1680790968.2197814,0
1680790968.3360798,0
1680790968.5606964,0
1680790970.1416342,0
1680790970.2549164,0
1680790970.474519,0
1680790970.5829031,1
1680790970.6971078,0
1680790970.918624,0
1680790971.0348907,0
1680790971.3779123,0
1680790971.6013966,1
1680790971.9433658,0
1680790972.0566447,0
1680790972.2811327,0
1680790972.621117,0
1680790972.7413678,1
1680790973.4230947,0
1680790973.5354247,0
1680790973.7620795,0
1680790973.9824662,0
1680790974.2040749,1
1680790974.420674,0
1680790974.6341736,0
1680790974.744684,0
1680790974.9569454,1
1680790975.0642943,0
1680790975.175636,0
1680790975.3972764,0
1680790975.6196692,1
1680790975.8362947,0
1680790976.1650057,0
1680790976.2813945,0
1680790976.5000217,1
1680790976.7206275,0
1680790976.9410312,0
1680790977.1626089,0
1680790977.279028,1
1680790977.500525,0
1680790977.613744,0
1680790978.3024802,0
1680790978.4198215,0
1680790978.7587297,0
1680790979.0985792,0
1680790979.4404352,0
1680790979.5558312,0
1680790979.7803288,0
1680790979.8966866,0
1680790980.12232,0
1680790980.2336717,0
1680790980.579422,0
1680790980.697931,0
1680790981.156066,0
1680790981.381548,0
1680790981.4978287,0
1680790981.7204382,0
1680790982.064156,0
1680790982.1785553,0
1680790982.5235088,0
1680790982.6446724,0
1680790982.7611597,0
1680790982.877403,0
1680790983.2211206,0
1680790983.3374817,0
1680790983.4567795,0
1680790983.5751524,0
1680790983.6893616,0
1680790983.8048418,0
1680790983.9209883,0
1680790984.0393612,0
1680790984.1576226,1
1680790984.275879,0
1680790984.3951218,0
1680790984.6187103,0
1680790984.8404703,0
1680790985.0648587,0
1680790985.1791947,0
1680790985.2945607,0
1680790985.5181994,0
1680790985.635302,0
1680790985.8618648,0
1680790986.1957073,0
1680790986.4164398,1
1680790986.6411288,0
1680790986.7641928,0
1680790986.8795564,0
1680790986.9947798,0
1680790987.223427,0
1680790987.341701,0
1680790987.4580622,0
1680790987.7818074,0
1680790988.002531,0
1680790988.2220194,0
