Time_Seconds,Length,Velocity,Acceleration,Jerk,Curvature,Voxels Removed,Angle with Respect to Camera,Source,Time_Normalized,Velocity_Acceleration_Ratio,Efficiency,Cluster
4.757171392440796,0.0088705676160544,0.0019259124344516,0.0085342603126768,0.0438444668780768,1740.6615184989828,2353.0,61.20902362737477,exoofp_P0_L3_color,0.004473150442731579,0.22564190943200443,265229.33734303084,2
5.172296762466431,0.0012056497781806,0.0039113067403047,0.0205619364897089,0.1584027704619258,2320.9485964928367,250.0,55.29550856549382,exoofp_P0_L3_color,0.004888807671256686,0.19021148765703697,207185.2202027939,1
5.487043619155884,0.0010832629322903,0.0053663728929261,0.0509114930975087,8.401510153001604e-16,690.459770378494,133.0,54.60181316136292,exoofp_P0_L3_color,0.005203957781524454,0.10540385210852486,122663.9738749186,0
6.677092790603638,0.0047696720184445,0.0035191806196861,0.022790238544333,0.178354675778548,1523.92402633116,980.0,53.85849439989487,exoofp_P0_L3_color,0.006395531643613459,0.15440936274001388,205421.79303274208,1
7.143235445022583,0.0024327320571675,0.0061802156413744,0.0410209248429564,0.2915763790582755,10084.95492041267,135.0,51.43752884083841,exoofp_P0_L3_color,0.006862271519861327,0.1506564030097082,55470.362730529916,1
10.455911874771118,0.0243093892643165,0.0077125947079895,0.0638322535668982,0.4653574946561286,10299.654402242337,1264.0,50.58613149623008,exoofp_P0_L3_color,0.010179192149657314,0.12082408896652254,51994.23120119825,1
12.893986701965332,0.0106089188116531,0.0040727127518827,0.0392320005626905,0.2401365379679911,1090.9036186739436,1110.0,50.55961875969789,exoofp_P0_L3_color,0.012620390637588312,0.10380834230037805,104619.08518855614,1
13.911596536636353,0.003622366303148,0.0039621543518691,0.0337328731597223,0.2131516239074247,3569.6355377841387,493.0,51.93091759564696,exoofp_P0_L3_color,0.013639304233674064,0.11745328895704296,136061.31943427277,1
17.251248598098755,0.0105329802781198,0.0027683646970166,0.0197875111412145,0.1194436247939333,6251.999783097223,587.0,51.80966647668657,exoofp_P0_L3_color,0.016983235056355173,0.13989757376191841,55724.42557342371,1
17.932738065719604,0.0028370830427742,0.0048055820580123,0.040648399077575,0.3284690848315929,10627.220188296264,156.0,51.366316231905664,exoofp_P0_L3_color,0.01766559764807738,0.11822024844306712,54966.679145340095,1
21.563146591186523,0.009415543634702,0.0031600711719452,0.0175274603981224,0.1128260961592199,1744.9234148345938,984.0,51.92253062474155,exoofp_P0_L3_color,0.021300657451857417,0.18028230090782515,104496.94050943993,1
21.861904859542847,0.0014251502854615,0.0102758130026981,0.0503596448167129,3.652900017593151e-15,201.9044432918703,37.0,52.24507120399227,exoofp_P0_L3_color,0.021599798489217482,0.2040445081689646,25943.969844683557,0
22.262908697128296,0.0033402697679015,0.0136795376536333,0.1044280902637166,0.4633298639264144,899.0924430241637,105.0,52.66891661553063,exoofp_P0_L3_color,0.02200131609279928,0.1309935537989283,31425.178837309424,1
22.462393522262573,0.0019961941358926,0.0008984416946631,0.0,0.0,0.0,45.0,52.87783644458818,exoofp_P0_L3_color,0.02220105649783164,898.4416946631001,22531.610318337072,3
25.83207941055298,0.0312823207398569,0.0091343758955149,0.0708107708016498,0.6290604833683705,2560.189513511759,1747.0,53.47003633294205,exoofp_P0_L3_color,0.02557505962667067,0.12899516269831915,55844.455086068054,1
30.82870650291443,0.0211908880050828,0.0042467026562911,0.0256376223565721,0.1668470490892399,2919.178813802411,2249.0,51.43326376679486,exoofp_P0_L3_color,0.030578088396163057,0.1656369284288989,106125.51366167022,1
31.00820231437683,0.0004443872029778,0.0127435411512794,0.0,0.0,0.0,114.0,54.3629427568454,exoofp_P0_L3_color,0.030757814177605227,12743.5411512794,255957.06216481086,3
31.28508830070496,0.0015596728226456,0.0077468226942741,0.0605685769108083,5.721010989986303e-15,941.3425345726116,242.0,54.35490100792347,exoofp_P0_L3_color,0.031035054910175927,0.12789956756147858,155061.32770978208,0
31.877556800842285,0.0026984050115521,0.0028173315495487,0.0125050278545559,0.0850183437807558,2400.7112959936267,476.0,54.25277500532471,exoofp_P0_L3_color,0.03162828248077779,0.22527788857613623,176335.15458516177,0
32.87002921104431,0.0094598275007451,0.0091499545530546,0.072398667425425,0.5644838355064408,10669.940400318445,657.0,54.87179210470773,exoofp_P0_L3_color,0.032622026446333864,0.12638116829030294,69444.24258324731,1
33.60989737510681,0.0029517575940752,0.0035630557621086,0.0224652626044134,0.1739896516664124,18065.97986614476,362.0,54.95276729624937,exoofp_P0_L3_color,0.03336284252926608,0.1585958387848922,122597.26322484591,1
33.88765811920166,0.0009688691148622,0.0050224914615537,0.055445297055435,8.910352055590472e-15,1669.361390334181,97.0,54.59810493992792,exoofp_P0_L3_color,0.033640959140342895,0.09058299162038237,100013.49513411598,0
37.25617694854736,0.0062172220566877,0.0017311125956366,0.0055995048877036,0.0388711430810802,1760.2782536057912,2298.0,49.62077720096904,exoofp_P0_L3_color,0.03701379371500165,0.3090993812785361,369559.0120536947,2
37.99111533164978,0.0007763615030625,0.0022996875327815,0.0073194941059133,7.640815827378709e-16,833.2542891792313,104.0,45.24882391918158,exoofp_P0_L3_color,0.037749673700939894,0.31414375853726506,133785.8893066877,0
40.96379804611206,0.004901645566126,0.0016156366800468,0.0086511344788212,0.0487201997098443,2967.7899306919708,402.0,44.92525772351495,exoofp_P0_L3_color,0.04072616501560366,0.18673272866962198,81996.54545242898,0
