Cluster,Length_mean,Length_median,Length_std,Velocity_mean,Velocity_median,Velocity_std,Acceleration_mean,Acceleration_median,Acceleration_std,Jerk_mean,Jerk_median,Jerk_std,Voxels Removed_mean,Voxels Removed_median,Voxels Removed_std,Stroke_Duration_mean,Stroke_Duration_median,Stroke_Duration_std
0,0.0008797839649329481,0.0007532459061225,0.0005955971571410831,0.0034577620348005527,0.0021588935451567,0.0035391112954328546,0.0026543870572011204,0.0,0.00364170388759446,0.0025776132647127893,0.0,0.007124296189102491,137.32849891225527,110.0,115.00243636591506,0.5552741473269175,0.4452481269836426,0.3755684521810231
1,0.009356562187032503,0.00787811517841305,0.005353859736196187,0.001480638154581108,0.00142051102327505,0.0008092916527952089,0.004843962538530805,0.0040083970909863004,0.0036840960130035765,0.021033493023510787,0.01501742978800385,0.019528906713272343,2095.6030534351144,1507.0,2018.4653024393842,9.746979210364607,6.442592263221741,8.912102762047539
2,0.0019036044581214218,0.0017834715591249,0.0008847807609268148,0.004167807237709051,0.0034141363651272,0.002594542721302333,0.022909933174439293,0.0154881184412216,0.02313374106398554,0.03677588069141784,0.0323684569331992,0.04108704025541654,261.14798850574715,226.5,182.88119346543348,0.6880271422794495,0.5994424819946325,0.38353133642523274
3,0.006675608159303413,0.0052917460377957005,0.004925667954580143,0.0054780809891301335,0.00455795217881535,0.0034193838270287595,0.03368124012976323,0.0252384066281583,0.02638926935502053,0.20370449831084086,0.14143030323242017,0.184088247107359,715.4585561497327,567.0,558.6161828597792,1.6240465070474588,1.3313440084457433,1.188218499354363
4,0.0027252015912757124,0.0025727500741719,0.0013378676726257424,0.0014022996885062569,0.0013329583795681,0.0006868132931240218,0.004061291895261438,0.0035571510501628,0.002871471551715069,0.01500426261946051,0.0113190957257058,0.014781272985774462,451.6323148627654,365.0,351.40286502230214,2.989907859459496,2.153509140014762,2.8841109157990386
