Cluster,Length_mean,Length_median,Length_std,Velocity_mean,Velocity_median,Velocity_std,Acceleration_mean,Acceleration_median,Acceleration_std,Jerk_mean,Jerk_median,Jerk_std,Voxels Removed_mean,Voxels Removed_median,Voxels Removed_std,Stroke_Duration_mean,Stroke_Duration_median,Stroke_Duration_std
0,0.0010039727863617284,0.0009222598643743,0.0006082331171400691,0.001188184039979183,0.0011692524081847,0.0004975102748445743,0.0024320614128924127,0.0021065871302592,0.002376055460346632,0.005005310245040883,2.3140045968948574e-15,0.007910666686355483,168.71170313986678,126.0,145.95034265135843,1.18580822350296,0.9594566822052002,0.9224102264305067
1,0.0011411660891492486,0.001006139561369,0.0007034270672385178,0.003662994604789136,0.0033212158846447,0.0013917721152307077,0.008195063636008717,0.0063332813166509,0.008300534102447604,0.0005791608847646702,1.1496163886750065e-15,0.003015870346185461,184.12735326688815,151.0,148.12095926874892,0.5098550343434288,0.42013025283813477,0.3358495712056958
2,0.005682967647749114,0.0052707615273682,0.0020669276834901764,0.002821825153141169,0.0026606299198692,0.0009294919482061653,0.012035630147704408,0.0111070418201181,0.004732622984183576,0.05437456284784895,0.0512672223290795,0.023843834114787372,869.3268124280783,822.0,387.90237795319064,2.3736260634160002,2.124568939208988,1.0554749811922897
3,0.0038871829730969033,0.0034762246915139,0.0017986143944903677,0.001415498261704914,0.0013614409500838,0.0005412167865535289,0.003744703669102799,0.00362757431558425,0.0018724519118102807,0.013523901295116025,0.01213472935020405,0.010133553883259686,606.0417348608838,508.5,391.4534842885002,3.2584499430929585,3.0429906845092773,1.387913792328068
4,0.0021184272405926144,0.00201273421335335,0.0008547614101384788,0.0028465740094337786,0.0026370953158848,0.001004558689030315,0.012145349460338049,0.01083712237678535,0.005134995607485417,0.05241838540056163,0.048773917311705495,0.023786818435388633,312.0301204819277,282.0,193.44749874381083,0.9131103562542707,0.8435617685317993,0.3937215033249846
