Cluster,Length_mean,Length_median,Length_std,Velocity_mean,Velocity_median,Velocity_std,Acceleration_mean,Acceleration_median,Acceleration_std,Jerk_mean,Jerk_median,Jerk_std,Voxels Removed_mean,Voxels Removed_median,Voxels Removed_std,Time_Normalized_mean,Time_Normalized_median,Time_Normalized_std,Velocity_Acceleration_Ratio_mean,Velocity_Acceleration_Ratio_median,Velocity_Acceleration_Ratio_std,Efficiency_mean,Efficiency_median,Efficiency_std
0,0.0020344241195611305,0.0018258584361568,0.0010953219552871103,0.0037132482584414828,0.0029511268014813,0.0025792694868212573,0.019038427432349996,0.0118938732060862,0.023121342260118527,0.02677711179286281,0.0177262899647244,0.03040243976200164,347.7441235728677,302.0,241.28484136270475,0.05088029601125639,0.03603603603603603,0.0493571644564121,0.276607227872089,0.23492028683056407,0.16441682233856517,199277.96397761846,164016.1004766224,160770.9526328319
1,0.007932639414085531,0.0064693992251856,0.005587308657753444,0.0015578893866929346,0.0015164030561981,0.0007834727382174986,0.005007114563346897,0.0042608836552937,0.003521139435000624,0.021451579690338618,0.0160108299923353,0.019232997993746247,2034.8475722188077,1410.0,1961.6095611085332,0.10983571155667037,0.08808808808808807,0.1001487277664876,1.6714329488942383,0.33975264614366946,36.89833153985319,335058.80220058357,238876.13266205965,633147.8944455378
2,0.0009053003088623109,0.0007282339768369,0.0007000449321703079,0.004677442156628962,0.00323476307212035,0.00430475220357516,8.01328675079834e-05,0.0,0.00043494336317509376,1.0541677233164889e-05,0.0,0.0001470145481280493,179.91931216931218,140.0,194.02902110385352,0.11169370428629687,0.08608608608608607,0.123339791321171,4538.039652929533,3146.6091264008,4396.65745357235,384360.1779579516,169175.26685374722,1171673.9186185226
3,0.006867541242109647,0.0053879474869393,0.005324037517753427,0.005637180587993269,0.0047233296740811,0.003426594645899788,0.034934479417704,0.0269694602739727,0.026148848048692937,0.2103752447304645,0.1493526120311157,0.18414635045896469,681.9507286606523,522.0,609.5335326557191,0.09312990992380304,0.06206206206206206,0.10642488992494255,0.1785413063173851,0.16736899710538242,0.05614303484971961,106101.61292420806,97820.37563512409,58404.26132537764
4,0.003189357372908011,0.0024239346137577,0.002738054050565572,0.0018057313806621963,0.0016044686627551,0.0010359809693487195,0.006389679897704827,0.0049233909333706,0.006068212382789761,0.01770970108259814,0.0109406904003976,0.020632152438622403,269.3582813582814,237.0,183.85787900726402,0.20839203722086602,0.18018018018018017,0.1352884823300171,0.4899341906915637,0.32599860089756455,2.6004932480877607,112821.91007385332,85611.70055301093,104988.59766919493
