Stroke End Time,Length,Velocity,Acceleration,Jerk,Curvature,Voxels Removed,Angle with Respect to Camera,Source,Time_Seconds,Time_Normalized,Velocity_Acceleration_Ratio,Efficiency,Cluster
1970-01-01 00:00:00.000000004,0.0088705676160544,0.0019259124344516,0.0085342603126768,0.0438444668780768,1740.6615184989828,2353.0,61.20902362737477,exoofp_P0_L3_color,4e-09,0.004004004004004004,0.22564190943200443,265229.33734303084,1
1970-01-01 00:00:00.000000005,0.0012056497781806,0.0039113067403047,0.0205619364897089,0.1584027704619258,2320.9485964928367,250.0,55.29550856549382,exoofp_P0_L3_color,5e-09,0.005005005005005005,0.19021148765703697,207185.2202027939,0
1970-01-01 00:00:00.000000005,0.0010832629322903,0.0053663728929261,0.0509114930975087,8.401510153001604e-16,690.459770378494,133.0,54.60181316136292,exoofp_P0_L3_color,5e-09,0.005005005005005005,0.10540385210852486,122663.9738749186,0
1970-01-01 00:00:00.000000006,0.0047696720184445,0.0035191806196861,0.022790238544333,0.178354675778548,1523.92402633116,980.0,53.85849439989487,exoofp_P0_L3_color,6e-09,0.006006006006006005,0.15440936274001388,205421.79303274208,3
1970-01-01 00:00:00.000000007,0.0024327320571675,0.0061802156413744,0.0410209248429564,0.2915763790582755,10084.95492041267,135.0,51.43752884083841,exoofp_P0_L3_color,7e-09,0.007007007007007006,0.1506564030097082,55470.362730529916,3
1970-01-01 00:00:00.000000010,0.0243093892643165,0.0077125947079895,0.0638322535668982,0.4653574946561286,10299.654402242337,1264.0,50.58613149623008,exoofp_P0_L3_color,1e-08,0.01001001001001001,0.12082408896652254,51994.23120119825,3
1970-01-01 00:00:00.000000012,0.0106089188116531,0.0040727127518827,0.0392320005626905,0.2401365379679911,1090.9036186739436,1110.0,50.55961875969789,exoofp_P0_L3_color,1.2e-08,0.01201201201201201,0.10380834230037805,104619.08518855614,3
1970-01-01 00:00:00.000000013,0.003622366303148,0.0039621543518691,0.0337328731597223,0.2131516239074247,3569.6355377841387,493.0,51.93091759564696,exoofp_P0_L3_color,1.3e-08,0.013013013013013013,0.11745328895704296,136061.31943427277,3
1970-01-01 00:00:00.000000017,0.0105329802781198,0.0027683646970166,0.0197875111412145,0.1194436247939333,6251.999783097223,587.0,51.80966647668657,exoofp_P0_L3_color,1.7e-08,0.017017017017017015,0.13989757376191841,55724.42557342371,3
1970-01-01 00:00:00.000000017,0.0028370830427742,0.0048055820580123,0.040648399077575,0.3284690848315929,10627.220188296264,156.0,51.366316231905664,exoofp_P0_L3_color,1.7e-08,0.017017017017017015,0.11822024844306712,54966.679145340095,3
1970-01-01 00:00:00.000000021,0.009415543634702,0.0031600711719452,0.0175274603981224,0.1128260961592199,1744.9234148345938,984.0,51.92253062474155,exoofp_P0_L3_color,2.1e-08,0.02102102102102102,0.18028230090782515,104496.94050943993,3
1970-01-01 00:00:00.000000021,0.0014251502854615,0.0102758130026981,0.0503596448167129,3.652900017593151e-15,201.9044432918703,37.0,52.24507120399227,exoofp_P0_L3_color,2.1e-08,0.02102102102102102,0.2040445081689646,25943.969844683557,0
1970-01-01 00:00:00.000000022,0.0033402697679015,0.0136795376536333,0.1044280902637166,0.4633298639264144,899.0924430241637,105.0,52.66891661553063,exoofp_P0_L3_color,2.2e-08,0.02202202202202202,0.1309935537989283,31425.178837309424,3
1970-01-01 00:00:00.000000022,0.0019961941358926,0.0008984416946631,0.0,0.0,0.0,45.0,52.87783644458818,exoofp_P0_L3_color,2.2e-08,0.02202202202202202,898.4416946631001,22531.610318337072,2
1970-01-01 00:00:00.000000025,0.0312823207398569,0.0091343758955149,0.0708107708016498,0.6290604833683705,2560.189513511759,1747.0,53.47003633294205,exoofp_P0_L3_color,2.5e-08,0.025025025025025023,0.12899516269831915,55844.455086068054,3
1970-01-01 00:00:00.000000030,0.0211908880050828,0.0042467026562911,0.0256376223565721,0.1668470490892399,2919.178813802411,2249.0,51.43326376679486,exoofp_P0_L3_color,3e-08,0.030030030030030026,0.1656369284288989,106125.51366167022,3
1970-01-01 00:00:00.000000031,0.0004443872029778,0.0127435411512794,0.0,0.0,0.0,114.0,54.3629427568454,exoofp_P0_L3_color,3.1e-08,0.03103103103103103,12743.5411512794,255957.06216481086,2
1970-01-01 00:00:00.000000031,0.0015596728226456,0.0077468226942741,0.0605685769108083,5.721010989986303e-15,941.3425345726116,242.0,54.35490100792347,exoofp_P0_L3_color,3.1e-08,0.03103103103103103,0.12789956756147858,155061.32770978208,0
1970-01-01 00:00:00.000000031,0.0026984050115521,0.0028173315495487,0.0125050278545559,0.0850183437807558,2400.7112959936267,476.0,54.25277500532471,exoofp_P0_L3_color,3.1e-08,0.03103103103103103,0.22527788857613623,176335.15458516177,0
1970-01-01 00:00:00.000000032,0.0094598275007451,0.0091499545530546,0.072398667425425,0.5644838355064408,10669.940400318445,657.0,54.87179210470773,exoofp_P0_L3_color,3.2e-08,0.03203203203203203,0.12638116829030294,69444.24258324731,3
1970-01-01 00:00:00.000000033,0.0029517575940752,0.0035630557621086,0.0224652626044134,0.1739896516664124,18065.97986614476,362.0,54.95276729624937,exoofp_P0_L3_color,3.3e-08,0.03303303303303303,0.1585958387848922,122597.26322484591,3
1970-01-01 00:00:00.000000033,0.0009688691148622,0.0050224914615537,0.055445297055435,8.910352055590472e-15,1669.361390334181,97.0,54.59810493992792,exoofp_P0_L3_color,3.3e-08,0.03303303303303303,0.09058299162038237,100013.49513411598,0
1970-01-01 00:00:00.000000037,0.0062172220566877,0.0017311125956366,0.0055995048877036,0.0388711430810802,1760.2782536057912,2298.0,49.62077720096904,exoofp_P0_L3_color,3.7e-08,0.037037037037037035,0.3090993812785361,369559.0120536947,1
1970-01-01 00:00:00.000000037,0.0007763615030625,0.0022996875327815,0.0073194941059133,7.640815827378709e-16,833.2542891792313,104.0,45.24882391918158,exoofp_P0_L3_color,3.7e-08,0.037037037037037035,0.31414375853726506,133785.8893066877,0
1970-01-01 00:00:00.000000040,0.004901645566126,0.0016156366800468,0.0086511344788212,0.0487201997098443,2967.7899306919708,402.0,44.92525772351495,exoofp_P0_L3_color,4e-08,0.04004004004004004,0.18673272866962198,81996.54545242898,0
1970-01-01 00:00:00.000000042,0.0022613314026639,0.0016204692570874,0.0067050510092318,0.0225672023738746,15721.87595212344,508.0,44.930303339550576,exoofp_P0_L3_color,4.2e-08,0.04204204204204204,0.24164284686421286,224547.1195784264,0
1970-01-01 00:00:00.000000042,0.001412509416464,0.0039815186920123,0.0089748677215365,2.062697950678164e-15,511.08095375730375,188.0,44.95886638631643,exoofp_P0_L3_color,4.2e-08,0.04204204204204204,0.44358036632593545,133002.29755122264,0
1970-01-01 00:00:00.000000043,0.0012754328060249,0.0021915823770685,0.0095936385710245,0.0261572994651402,1080.1333622165057,178.0,45.09127668626621,exoofp_P0_L3_color,4.3e-08,0.04304304304304304,0.22841739799214622,139451.1322177093,0
1970-01-01 00:00:00.000000043,0.0012432019003597,0.0036731285951852,0.0094238914986817,0.0468764296135826,550.5511895795364,225.0,44.9216139177814,exoofp_P0_L3_color,4.3e-08,0.04304304304304304,0.38972635342263373,180838.8171846967,0
1970-01-01 00:00:00.000000044,0.0012558746097239,0.0018103544820117,0.0048031095740242,7.043583583422268e-16,3478.549336289665,92.0,44.82279067082388,exoofp_P0_L3_color,4.4e-08,0.04404404404404404,0.3768345526089327,73197.43695054021,4
1970-01-01 00:00:00.000000045,0.0020153452445326,0.0028808830106552,0.0109479897753918,0.0757247754787652,4262.478017076071,378.0,44.59313449889893,exoofp_P0_L3_color,4.5e-08,0.04504504504504504,0.2631186136578624,187467.89570137454,0
1970-01-01 00:00:00.000000076,0.0355055349230957,0.0011265187868276,0.0054492362473946,0.0314710946907335,1072.6012907117877,11372.0,53.23759478790456,exoofp_P0_L3_color,7.6e-08,0.07607607607607607,0.2066917351272827,320279.0704480411,1
1970-01-01 00:00:00.000000077,0.000512730295337,0.0053486506395411,0.0119026241517131,2.52199825222702e-15,140.04702340210827,177.0,56.85190824392371,exoofp_P0_L3_color,7.7e-08,0.07707707707707707,0.4493295967154132,344538.76208310906,0
1970-01-01 00:00:00.000000078,0.0030139409855696,0.0020464992179669,0.0107485492518089,0.077612874157041,7312.403069947668,375.0,56.436084370723485,exoofp_P0_L3_color,7.8e-08,0.07807807807807807,0.19038000292175244,124380.54402884202,0
