exp_id,exp_dir,anatomy,assist_mode,participant,trial,yrs_experience,num_laminectomies
0,/Volumes/Elements/4-6-Testing/klobo-participant/klobo_P0_L1_color,P0_L1,color,1,1,2,10
1,/Volumes/Elements/4-6-Testing/klobo-participant/klobo_P0_L3_color,P0_L3,color,1,2,2,10
2,/Volumes/Elements/4-6-Testing/klobo-participant/klobo_P1_L1_no_color,P1_L1,no_color,1,3,2,10
3,/Volumes/Elements/4-6-Testing/klobo-participant/klobo_P1_L3_no_color,P1_L3,no_color,1,4,2,10
4,/Volumes/Elements/4-6-Testing/klobo-participant/klobo_P2_L1_no_color,P2_L1,no_color,1,5,2,10
5,/Volumes/Elements/4-6-Testing/klobo-participant/klobo_P2_L2_color,P2_L2,color,1,6,2,10
6,/Volumes/Elements/4-6-Testing/klobo-participant/klobo_P4_L1_no_color,P4_L1,no_color,1,7,2,10
7,/Volumes/Elements/4-6-Testing/klobo-participant/klobo_P4_L2_color,P4_L2,color,1,8,2,10
8,/Volumes/Elements/4-6-Testing/klobo-participant/klobo_P7_L1_color,P7_L1,color,1,9,2,10
9,/Volumes/Elements/4-6-Testing/klobo-participant/klobo_P7_L3_no_color,P7_L3,no_color,1,10,2,10
10,/Volumes/Elements/4-6-Testing/pexvxk-participant/pexvxk_P0_L1_color,P0_L1,color,2,1,2,10
11,/Volumes/Elements/4-6-Testing/pexvxk-participant/pexvxk_P0_L3_color,P0_L3,color,2,2,2,10
12,/Volumes/Elements/4-6-Testing/pexvxk-participant/pexvxk_P1_L1_no_color,P1_L1,no_color,2,3,2,10
13,/Volumes/Elements/4-6-Testing/pexvxk-participant/pexvxk_P1_L3_no_color,P1_L3,no_color,2,4,2,10
14,/Volumes/Elements/4-6-Testing/pexvxk-participant/pexvxk_P2_L1_no_color,P2_L1,no_color,2,5,2,10
15,/Volumes/Elements/4-6-Testing/pexvxk-participant/pexvxk_P2_L2_color,P2_L2,color,2,6,2,10
16,/Volumes/Elements/4-6-Testing/pexvxk-participant/pexvxk_P4_L1_no_color,P4_L1,no_color,2,7,2,10
17,/Volumes/Elements/4-6-Testing/pexvxk-participant/pexvxk_P4_L2_color,P4_L2,color,2,8,2,10
18,/Volumes/Elements/4-6-Testing/pexvxk-participant/pexvxk_P7_L1_color,P7_L1,color,2,9,2,10
19,/Volumes/Elements/4-6-Testing/pexvxk-participant/pexvxk_P7_L3_no_color,P7_L3,no_color,2,10,2,10
20,/Volumes/Elements/4-6-Testing/tbpq-participant/tbpq_P0_L1_color,P0_L1,color,3,1,3,10
21,/Volumes/Elements/4-6-Testing/tbpq-participant/tbpq_P0_L3_color_v2,P0_L3,color,3,2,3,10
22,/Volumes/Elements/4-6-Testing/tbpq-participant/tbpq_P1_L1_no_color,P1_L1,no_color,3,3,3,10
23,/Volumes/Elements/4-6-Testing/tbpq-participant/tbpq_P1_L3_no_color,P1_L3,no_color,3,4,3,10
24,/Volumes/Elements/4-6-Testing/tbpq-participant/tbpq_P2_L1_no_color,P2_L1,no_color,3,5,3,10
25,/Volumes/Elements/4-6-Testing/tbpq-participant/tbpq_P2_L2_color,P2_L2,color,3,6,3,10
26,/Volumes/Elements/4-6-Testing/tbpq-participant/tbpq_P4_L1_no_color,P4_L1,no_color,3,7,3,10
27,/Volumes/Elements/4-6-Testing/tbpq-participant/tbpq_P4_L2_color,P4_L2,color,3,8,3,10
28,/Volumes/Elements/4-6-Testing/tbpq-participant/tbpq_P7_L1_color,P7_L1,color,3,9,3,10
29,/Volumes/Elements/4-6-Testing/tbpq-participant/tbpq_P7_L3_no_color,P7_L3,no_color,3,10,3,10
30,/Volumes/Elements/4-13-Testing/cxoxe-participant/cxoxe_P0_L1_color,P0_L1,color,4,1,4,10
31,/Volumes/Elements/4-13-Testing/cxoxe-participant/cxoxe_P0_L3_color,P0_L3,color,4,2,4,10
32,/Volumes/Elements/4-13-Testing/cxoxe-participant/cxoxe_P1_L1_no_color,P1_L1,no_color,4,3,4,10
33,/Volumes/Elements/4-13-Testing/cxoxe-participant/cxoxe_P1_L3_no_color,P1_L3,no_color,4,4,4,10
34,/Volumes/Elements/4-13-Testing/cxoxe-participant/cxoxe_P2_L1_no_color,P2_L1,no_color,4,5,4,10
35,/Volumes/Elements/4-13-Testing/cxoxe-participant/cxoxe_P2_L2_color,P2_L2,color,4,6,4,10
36,/Volumes/Elements/4-13-Testing/cxoxe-participant/cxoxe_P4_L1_no_color,P4_L1,no_color,4,7,4,10
37,/Volumes/Elements/4-13-Testing/cxoxe-participant/cxoxe_P4_L2_color,P4_L2,color,4,8,4,10
38,/Volumes/Elements/4-13-Testing/cxoxe-participant/cxoxe_P7_L1_color,P7_L1,color,4,9,4,10
39,/Volumes/Elements/4-13-Testing/cxoxe-participant/cxoxe_P7_L3_no_color,P7_L3,no_color,4,10,4,10
40,/Volumes/Elements/4-27-Testing/exoofp-participant/exoofp_P0_L1_color_v2,P0_L1,color,5,1,3,10
41,/Volumes/Elements/4-27-Testing/exoofp-participant/exoofp_P0_L3_color,P0_L3,color,5,2,3,10
42,/Volumes/Elements/4-27-Testing/exoofp-participant/exoofp_P1_L1_no_color,P1_L1,no_color,5,3,3,10
43,/Volumes/Elements/4-27-Testing/exoofp-participant/exoofp_P1_L3_no_color,P1_L3,no_color,5,4,3,10
44,/Volumes/Elements/4-27-Testing/exoofp-participant/exoofp_P2_L1_no_color,P2_L1,no_color,5,5,3,10
45,/Volumes/Elements/4-27-Testing/exoofp-participant/exoofp_P2_L2_color,P2_L2,color,5,6,3,10
46,/Volumes/Elements/4-27-Testing/exoofp-participant/exoofp_P4_L1_no_color,P4_L1,no_color,5,7,3,10
47,/Volumes/Elements/4-27-Testing/exoofp-participant/exoofp_P4_L2_color,P4_L2,color,5,8,3,10
48,/Volumes/Elements/4-27-Testing/exoofp-participant/exoofp_P7_L1_color,P7_L1,color,5,9,3,10
49,/Volumes/Elements/4-27-Testing/exoofp-participant/exoofp_P7_L3_no_color,P7_L3,no_color,5,10,3,10
50,/Volumes/Elements/4-27-Testing/vbpex-participant/vbpex_P0_L1_color,P0_L1,color,6,1,1,10
51,/Volumes/Elements/4-27-Testing/vbpex-participant/vbpex_P0_L3_color,P0_L3,color,6,2,1,10
52,/Volumes/Elements/4-27-Testing/vbpex-participant/vbpex_P1_L1_no_color_v2,P1_L1,no_color,6,3,1,10
53,/Volumes/Elements/4-27-Testing/vbpex-participant/vbpex_P1_L3_no_color,P1_L3,no_color,6,4,1,10
54,/Volumes/Elements/4-27-Testing/vbpex-participant/vbpex_P2_L1_no_color,P2_L1,no_color,6,5,1,10
